"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72408013739","2020-05-11T14:12:00","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.88","38","56","T","TS:7 -RA:02 |RA TS TS |RA","","","51","","SCT:04 60 BKN:07 100","29.85","8.00","47","280","45","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET18205/11/20 14:12:02 SPECI KPHL 111912Z 28029G39KT 8SM -TSRA SCT060CB BKN100 13/03 A2988 RMK AO2 PK WND 29039/1910 RAB06 TSB08 PRESRR OCNL LTGICCG OHD TS OHD MOV E P0000 T01330033 (SDK)","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
"72408013739","2020-05-11T14:20:00","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.87","40","53","0.02","TS:7 -RA:02 |RA TS TS |RA","","","61","","FEW:02 40 BKN:07 60 BKN:07 100","29.84","10.00","47","280","39","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET18905/11/20 14:20:02 SPECI KPHL 111920Z 28010G34KT 10SM -TSRA FEW040 BKN060CB BKN100 12/04 A2987 RMK AO2 PK WND 29039/1910 RAB06 TSB08 OCNL LTGICCG VC SE TS VC SE MOV E P0002 T01170044 $ (SDK)","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
"72408013739","2020-05-11T14:33:00","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.86","43","55","0.02","","","","64","","FEW:02 40 BKN:07 60 BKN:07 100","29.83","10.00","49","250","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET18805/11/20 14:33:02 SPECI KPHL 111933Z 25009KT 10SM FEW040 BKN060 BKN100 13/06 A2986 RMK AO2 PK WND 29039/1910 RAB06E24 TSB08E33 OCNL LTGICCG DSNT SE CB DSNT SE MOV E P0002 T01280061 $ (SDK)","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
"72408013739","2020-05-15T02:23:00","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.00","57","64","0.01","-RA:02 |RA |RA","","","78","","SCT:04 70 OVC:08 110","29.97","8.00","60","220","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11305/15/20 02:23:02 SPECI KPHL 150723Z 22007KT 8SM -RA SCT070 OVC110 18/14 A3000 RMK AO2 RAB16 P0001 T01780139 (DH)","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
"72408013739","2020-05-15T02:42:00","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.00","57","63","0.01","","","","81","","SCT:04 75 BKN:07 90 OVC:08 110","29.97","10.00","60","210","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12005/15/20 02:42:02 SPECI KPHL 150742Z 21006KT 10SM SCT075 BKN090 OVC110 17/14 A3000 RMK AO2 RAB16E40 P0001 T01720139 (DH)","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
"72408013739","2020-05-15T04:23:00","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.01","59","63","0.02","-RA:02 |RA |RA","","","87","","SCT:04 70 BKN:07 95 BKN:07 130","29.98","8.00","61","230","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12005/15/20 04:23:02 SPECI KPHL 150923Z 23015KT 8SM -RA SCT070 BKN095 BKN130 17/15 A3001 RMK AO2 RAB01 P0002 T01720150 (DH)","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
"72408013739","2020-05-15T04:52:00","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.02","61","63","0.03","-RA:02 |RA |RA","","","94","","SCT:04 70 BKN:07 85 OVC:08 130","29.99","10.00","62","220","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11105/15/20 04:52:02 SPECI KPHL 150952Z 22014KT 10SM -RA SCT070 BKN085 OVC130 17/16 A3002 RMK AO2 RAB01 P0003 (DH)","FM-16","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
"72408013739","2020-05-10T00:54:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.16","20","40","0.00","","-0.00","0","45","30.16","CLR:00","30.13","10.00","33","250","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11405/10/20 00:54:02 METAR KPHL 100554Z 25013KT 10SM CLR 04/M07 A3016 RMK AO2 SLP213 T00441067 10072 20039 50000 (JC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
"72408013739","2020-05-10T01:54:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.15","23","39","0.00","","","","53","30.14","CLR:00","30.12","10.00","33","230","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09605/10/20 01:54:02 METAR KPHL 100654Z 23008KT 10SM CLR 04/M05 A3015 RMK AO2 SLP208 T00391050 (JC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
"72408013739","2020-05-10T02:54:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.14","21","40","0.00","","","","47","30.14","CLR:00","30.11","10.00","33","230","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09605/10/20 02:54:02 METAR KPHL 100754Z 23014KT 10SM CLR 04/M06 A3014 RMK AO2 SLP206 T00441061 (JC)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009-07-30"
